sport,property,client,num_events,total_uniques
Soccer,Primeira Liga (Portugal),Sporty Bet,333,1544665.0
Tennis,WTA 1000,Winamax,246,1541371.0
Soccer,Copa Sudamericana,Nesine,154,1538827.0
Soccer,Ligue 1 (France),Betplay,405,1524712.0
Soccer,Primera División (Chile),Nesine,234,1522498.0
Soccer,Ligue 2 (France),Bilyoner,402,1517185.0
Soccer,Primeira Liga (Portugal),Betfair,346,1480284.0
Soccer,Primera División (Spain),Betsson,404,1469165.0
Soccer,UEFA Champions League Qualifiers,Bet365 Inform,41,1466335.0
Soccer,Serie A (Brazil),Pocasport,490,1449603.0
Soccer,Serie A (Brazil),Fonbet,488,1448789.0
Soccer,Segunda División (Spain),Fonbet,488,1441743.0
Ice Hockey,IIHF World Championships,Winline,64,1428184.0
Soccer,Primera División (Spain),Fortuna,404,1422537.0
Soccer,South American Internationals,Nesine,50,1419370.0
Soccer,Arabian Gulf League (United Arab Emirates),Bet365 Inform,185,1406762.0
Tennis,WTA 250,Fonbet,432,1390309.0
Soccer,Primera División (Spain),188Bet,407,1384674.0
Soccer,Serie A (Italy),Unibet,189,1382207.0
Soccer,J1 League (Japan),Winline,381,1381344.0
Soccer,Süper Lig (Turkey),Olimp,456,1357583.0
Soccer,UEFA Champions League Qualifiers,Nesine,41,1325383.0
Soccer,Segunda División (Spain),Winline,490,1320138.0
Soccer,First Division A (Belgium),Winline,348,1292160.0
Tennis,WTA 250,Unibet,429,1282279.0
Soccer,FNL (Russia),Fonbet,248,1275208.0
Soccer,ECL Qualifiers,Bet365 Inform,84,1266507.0
Soccer,J1 League (Japan),Fonbet,381,1255265.0
Soccer,Primeira Liga (Portugal),Unibet,348,1253521.0
Soccer,Ligue 1 (France),William Hill,405,1251832.0
Soccer,Primera División (Spain),Parimatch,234,1246178.0
Soccer,Serie A (Italy),Winamax,189,1238465.0
Soccer,Liga MX (Mexico),Nesine,127,1206578.0
Tennis,WTA 500,Winamax,268,1199054.0
Soccer,Serie B (Italy),Pocasport,410,1183553.0
Soccer,1. Division (Norway),Nesine,139,1182386.0
Soccer,Primeira Liga (Portugal),Olimp,348,1179680.0
Soccer,ECL Qualifiers,Nesine,79,1173090.0
Tennis,WTA 500,Betclic,234,1155569.0
Soccer,Süper Lig (Turkey),Unibet,459,1141504.0
Tennis,WTA 250,Winline,423,1125849.0
Soccer,FNL (Russia),Winline,239,1124989.0
Tennis,Wimbledon,Betclic,131,1109432.0
Soccer,Ligue 1 (France),Tipsport,405,1100781.0
Ice Hockey,IIHF World Championships,Fonbet,64,1100449.0
Soccer,Serie A (Brazil),Sporty Bet,474,1097908.0
Tennis,WTA 125K Series,Bet365 Inform,191,1089691.0
Soccer,Segunda División (Spain),Winamax,488,1086348.0
Soccer,Ligue 1 (France),Unibet,406,1065759.0
Soccer,Serie A (Italy),Parimatch,189,1053051.0
Soccer,Primera División (Spain),Super Bet,405,1048792.0
Ice Hockey,IIHF World Championships,Tipsport,64,1036680.0
Soccer,Ligue 2 (France),Pocasport,403,1025208.0
Soccer,Serie A (Brazil),Wplay,475,1024083.0
Soccer,Süper Lig (Turkey),Betfair,454,1023012.0
Ice Hockey,Kontinental Hockey League,BetBoom,651,1020879.0
Soccer,First Division A (Belgium),Betclic,317,1007054.0
Soccer,Primeira Liga (Portugal),Betplay,347,987195.0
Soccer,Ligue 1 (France),Bwin,405,969191.0
Soccer,Primera División (Spain),Danske Spil,407,962988.0
Soccer,Eliteserien (Norway),Bilyoner,240,958082.0
Soccer,Serie A (Italy),Betplay,119,955473.0
Soccer,Primeira Liga (Portugal),William Hill,346,951342.0
Soccer,Serie B (Italy),Winline,409,942204.0
Soccer,Asian Internationals,Bet365 Inform,65,941517.0
Soccer,First Division A (Belgium),Sporty Bet,331,937939.0
Soccer,J2 League (Japan),Bet365 Inform,461,936475.0
Soccer,Segunda División (Spain),Sporty Bet,475,931778.0
Tennis,WTA 1000,Unibet,255,924309.0
Soccer,J1 League (Japan),Sporty Bet,381,917731.0
Tennis,WTA 1000,Fonbet,255,910973.0
Soccer,Serie A (Brazil),Caliente,490,909760.0
Tennis,WTA 250,Tipsport,436,908991.0
Soccer,Serie A (Brazil),Betsson,487,906375.0
Soccer,Thai Premier League (Thailand),Bet365 Inform,242,904752.0
Soccer,Primera División (Chile),Pocasport,353,904338.0
Soccer,Primera División (Spain),Misli,407,903147.0
Soccer,J1 League (Japan),Betclic,378,903092.0
Soccer,Queensland NPL (Australia),Bet365 Inform,183,900425.0
Soccer,National B Championship (Argentina),Bet365 Inform,123,899107.0
Tennis,WTA 250,Olimp,433,897077.0
Tennis,Wimbledon,Fonbet,132,892872.0
Soccer,J1 League (Japan),188Bet,381,881261.0
Cricket,Cricket South Africa - Provincial T20,Bet365 Inform,47,879931.0
Soccer,Primera División (Argentina),Betplay,194,875472.0
Tennis,WTA 1000,Tipsport,254,873524.0
Soccer,Veikkausliiga (Finland),Bet365 Inform,164,870228.0
Basketball,FIBA - Eurobasket Qualifiers,Nesine,35,859638.0
Soccer,Serie A (Italy),Tipsport,189,858916.0
Soccer,Ligue 1 (France),Fortuna,400,851570.0
Soccer,Serie B (Italy),Fonbet,409,849343.0
Ice Hockey,Kontinental Hockey League,Betclic,806,839573.0
Soccer,Primera División (Spain),Aspen,407,836562.0
Soccer,J2 League (Japan),Nesine,349,835220.0
Soccer,Ligue 1 (France),Betsson,404,828787.0
Soccer,Serie A (Italy),Caliente,189,821069.0
Soccer,Primera División (Spain),Ligastavok,407,794824.0
Soccer,Copa Sudamericana,Bet365 Inform,162,794702.0
Tennis,WTA 1000,Winline,253,791439.0
Tennis,WTA 500,Fonbet,274,790499.0
Soccer,Primera División (Argentina),Bilyoner,198,787178.0
Tennis,WTA 500,Winline,272,786183.0
Soccer,Primera División (Spain),BetBoom,331,780510.0
Soccer,UEFA Champions League Qualifiers,Fonbet,41,779484.0
Soccer,Primera División (Spain),Sts,404,762816.0
Tennis,Wimbledon,Winamax,132,759545.0
Soccer,Primeira Liga (Portugal),Bwin,341,758769.0
Soccer,J1 League (Japan),Aspen,378,750404.0
Soccer,Serie A (Italy),Betsson,187,750052.0
Ice Hockey,Kontinental Hockey League,Nesine,232,749880.0
Soccer,Indian Super League (India),Bet365 Inform,72,742404.0
Ice Hockey,Kontinental Hockey League,Bet365 Inform,836,739328.0
Soccer,Serie A (Brazil),Winamax,488,733143.0
Soccer,Serie B (Brazil) ,Pocasport,445,731183.0
Tennis,WTA 500,Unibet,273,728645.0
Soccer,Ligue 1 (France),Caliente,406,726505.0
Soccer,Serie B (Brazil) ,Bilyoner,431,715116.0
Cricket,Caribbean Twenty20,Bet365 Inform,33,714907.0
Soccer,Úrvalsdeild (Iceland),Bet365 Inform,130,713000.0
Soccer,Serie B (Brazil) ,Fonbet,442,711489.0
Soccer,Primeira Liga (Portugal),Caliente,348,709408.0
Cricket,Cricket New Zealand Super Smash,Bet365 Inform,59,708411.0
Tennis,WTA 1000,Olimp,256,708098.0
Soccer,Segunda División (Spain),Unibet,490,707704.0
Basketball,KBL (South Korea),Bet365 Inform,297,707231.0
Soccer,Ligue 1 (France),Parimatch,234,706761.0
Soccer,Serie A (Brazil),Unibet,490,705611.0
Soccer,Serie B (Italy),Winamax,409,704215.0
Soccer,Serie A (Italy),Bwin,189,703887.0
Soccer,J1 League (Japan),Pocasport,380,695449.0
Tennis,Wimbledon,Winline,132,687007.0
Tennis,Wimbledon,Tipsport,132,686856.0
Soccer,Primera División (Spain),Crystal Bet,404,685580.0
Soccer,Arabian Gulf League (United Arab Emirates),Nesine,96,681033.0
Soccer,Serie B (Brazil) ,Winline,440,680536.0
Soccer,Süper Lig (Turkey),Bwin,458,678692.0
Soccer,First Division A (Belgium),Winamax,343,678164.0
Basketball,Basketball Champions League,Bet365 Inform,200,673240.0
Soccer,Ligue 1 (France),Wplay,396,669186.0
Soccer,Copa Argentina (Argentina),Bet365 Inform,36,664650.0
Tennis,WTA 500,Tipsport,278,656061.0
Soccer,Friendly,Bet365 Inform,119,654529.0
Soccer,Primeira Liga (Portugal),Betsson,348,653769.0
Soccer,Liga MX (Mexico),Bet365 Inform,168,653186.0
Soccer,Primera División (Spain),Paddy Power,405,652214.0
Soccer,Primera División (Spain),Supersport,407,650525.0
Soccer,Ligue 1 (France),Super Bet,405,649488.0
Tennis,WTA 500,Olimp,275,649247.0
Basketball,NBL,Nesine,132,646289.0
Soccer,Ligue 1 (France),Misli,404,646024.0
Soccer,Serie A (Italy),Fortuna,188,644847.0
Basketball,Basketball Champions League,Bilyoner,196,644273.0
Soccer,Segunda División (Spain),Betfair,476,639376.0
Soccer,Primeira Liga (Portugal),Tipsport,348,638846.0
